,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY.1,BID PRICE.1,ASK PRICE.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1
0,167.0,2.0,7.0,0,3014.55,86.85,75.0,2806.45,2826.1,75.0,6100.0,975.0,9.0,9.2,300.0,-0.9,9.1,93.79,2345.0,-49.0,7887.0
1,0,0,0,0,0,0,75.0,2562.65,2968.2,75.0,6150.0,75.0,7.4,10.15,75.0,-5.1,7.2,94.21,40.0,14.0,60.0
2,6.0,0,0,0,0,0,75.0,2495.2,2809.6,75.0,6200.0,75.0,9.25,10.55,75.0,-1.45,9.6,90.62,486.0,2.0,670.0
3,0,0,0,0,0,0,9900.0,2150.4,2923.15,9900.0,6250.0,150.0,6.05,12.3,75.0,-4.95,5.3,88.17,5.0,1.0,29.0
4,1.0,0,0,0,0,0,75.0,2383.7,2822.25,75.0,6300.0,75.0,9.6,12.15,75.0,-3.0,9.55,88.47,746.0,-32.0,462.0
5,0,0,0,0,0,0,9900.0,2050.45,2811.4,9900.0,6350.0,150.0,3.15,36.25,150.0,0,0,0,0,0,0
6,0,0,0,0,0,0,75.0,2437.0,3030.2,75.0,6400.0,150.0,10.7,11.1,225.0,-1.85,11.55,85.61,1087.0,86.0,297.0
7,0,0,0,0,0,0,9900.0,1950.45,2702.3,9900.0,6450.0,150.0,4.05,27.85,150.0,0,0,0,0,0,0
8,946.0,-23.0,34.0,0,2444.0,-58.55,75.0,2413.0,2441.3,75.0,6500.0,150.0,11.6,11.7,75.0,-3.15,11.75,83.28,7195.0,-734.0,8405.0
9,0,0,0,0,0,0,9900.0,1850.45,2601.3,9900.0,6550.0,150.0,8.65,26.1,9900.0,0,0,0,0,0,3.0
10,0,0,0,0,0,0,75.0,2133.65,2855.7,75.0,6600.0,75.0,13.1,14.8,75.0,-2.1,14.6,83.69,401.0,-68.0,241.0
11,0,0,0,0,0,0,9900.0,1935.1,2494.6,9900.0,6650.0,150.0,12.55,26.3,75.0,-10.75,12.45,81.29,2.0,1.0,17.0
12,0,0,0,0,0,0,75.0,2111.35,2726.75,75.0,6700.0,75.0,15.55,17.4,75.0,-3.35,15.6,81.22,519.0,-188.0,287.0
13,1.0,0,0,0,0,0,75.0,2046.85,2242.45,75.0,6750.0,150.0,14.8,17.95,75.0,-2.95,17.0,81.45,780.0,302.0,1178.0
