,STRIKE PRICE,BID QTY.1,BID PRICE.1,ASK PRICE.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1,Profit
69,9550.0,75.0,575.1,0,0,-693.6,693.6,0,0,0,5.0,624.7000000000007
138,13000.0,75.0,4023.8,4038.35,75.0,86.05,4045.0,92.38,112.0,37.0,1253.0,36.35000000000082
148,13500.0,75.0,4514.65,4541.95,75.0,-155.9,4360.0,112.16,3.0,-1.0,1434.0,32.75000000000091
118,12000.0,1425.0,3040.0,3045.7,375.0,81.4,3040.0,0,47.0,-14.0,3795.0,29.00000000000091
108,11500.0,75.0,2538.5,2549.15,75.0,103.05,2582.0,0,26.0,-8.0,640.0,25.550000000000637
98,11000.0,75.0,2041.4,2051.75,75.0,78.85,2058.0,72.22,71.0,-32.0,3637.0,22.950000000000728
116,11900.0,600.0,2840.2,2955.25,75.0,-236.35,2693.6,0,1.0,0,72.0,19.450000000000728
128,12500.0,225.0,3550.0,3561.2,75.0,110.15,3586.15,0,22.0,-1.0,994.0,13.50000000000091
88,10500.0,225.0,1553.7,1562.15,75.0,70.6,1574.3,54.82,304.0,-111.0,3171.0,12.550000000000637
86,10400.0,75.0,1448.95,1472.55,75.0,143.45,1507.6,0,13.0,-2.0,94.0,2.150000000000773
