CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,168,3,7,-,"3,014.55",86.85,75,"2,838.00","2,850.20",75,"6,100.00",75,9.65,9.70,75,-0.35,9.65,93.79,"2,553",-4,"7,932",
,-,-,-,-,-,-,75,"2,633.25","2,912.95",75,"6,150.00",75,9.25,10.60,75,-3.35,8.95,94.21,44,11,57,
,6,-,-,-,"2,350.00","-2,350.00",75,"2,574.80","2,873.50",75,"6,200.00",225,9.70,10.45,75,-0.65,10.40,90.62,512,3,671,
,-,-,-,-,-,-,"9,900","2,150.40","2,922.15","9,900","6,250.00",150,7.10,12.25,75,-0.25,10.00,88.17,22,-4,24,
,1,-,-,-,"2,716.45","-2,716.45","9,900","2,443.75","2,783.80",375,"6,300.00",450,9.05,12.45,75,-0.05,12.50,88.47,764,-39,455,
,-,-,-,-,-,-,"9,900","2,050.45","2,811.40","9,900","6,350.00",150,3.55,36.25,150,-,-,-,-,-,-,
,1,1,1,-,"2,526.55",484.25,75,"2,407.20","2,926.75","9,900","6,400.00",75,10.05,11.35,150,-2.40,11.00,85.61,"1,141",82,293,
,-,-,-,-,-,-,"9,900","1,950.45","2,702.30","9,900","6,450.00",150,4.05,20.50,150,-,-,-,-,-,-,
,947,-22,35,-,"2,444.00",-58.55,75,"2,440.00","2,456.15",75,"6,500.00",75,11.65,12.00,75,-3.25,11.65,83.28,"8,574",-975,"8,164",
,-,-,-,-,-,-,"9,900","1,850.45","2,601.30","9,900","6,550.00",150,8.65,24.95,150,-25.00,25.00,-,-,-,3,
,-,-,-,-,-,-,75,"2,225.30","2,484.25",75,"6,600.00",150,13.40,15.00,300,-0.90,15.80,83.69,450,-65,244,
,-,-,-,-,-,-,"9,900","1,935.10","2,494.60","9,900","6,650.00",75,12.55,21.10,75,-0.25,22.95,81.29,4,2,18,
,-,-,-,-,-,-,75,"2,136.15","2,383.70",75,"6,700.00",300,12.30,17.45,75,-6.65,12.30,81.22,548,-189,286,
,1,-,-,-,"2,150.00","-2,150.00",75,"2,110.10","2,332.80",75,"6,750.00",75,13.60,17.00,75,-2.95,17.00,81.45,809,-183,693,
,30,-1,4,106.78,"2,139.00",-19.10,75,"2,044.45","2,265.55",75,"6,800.00",75,17.20,20.00,75,-3.65,18.60,79.55,"2,828",58,"1,745",
,-,-,-,-,-,-,"9,900","1,550.45","2,272.80","9,900","6,850.00",150,8.30,45.45,150,-,-,-,-,-,-,
,2,-,1,-,"2,045.00",54.35,"9,900","1,878.90","2,162.55",600,"6,900.00",975,19.25,21.45,75,-6.65,19.10,77.63,"2,473",63,808,
,-,-,-,-,"1,841.25","-1,841.25","3,075","1,893.55","2,136.75",75,"6,950.00",75,20.85,42.10,150,-8.30,19.65,77.60,35,4,53,
,"8,236",-31,594,-,"1,957.85",-72.80,75,"1,954.15","1,967.00",75,"7,000.00",450,24.50,24.85,"2,175",-5.45,24.50,76.16,"17,959",-413,"23,826",
,-,-,-,-,-,-,"9,900","1,350.40","2,061.00","9,900","7,050.00",75,25.70,34.95,150,-0.05,34.95,75.84,34,4,38,
,23,1,4,-,"1,967.85",103.45,525,"1,711.25","2,002.30",600,"7,100.00",150,27.20,29.00,75,-6.45,27.20,74.50,"1,945",84,784,
,-,-,-,-,-,-,"9,900","1,616.45","1,956.85","9,900","7,150.00",150,18.00,41.40,75,-8.00,32.00,73.70,35,3,14,
,22,-1,1,90.13,"2,023.75",209.90,75,"1,743.15","1,784.95",75,"7,200.00",75,30.65,32.00,150,-6.65,31.80,72.85,"3,523",466,"2,790",
,-,-,-,-,-,-,"9,900","1,530.80","1,852.85","9,900","7,250.00",75,30.00,41.15,150,-21.40,12.65,74.10,9,-,5,
,14,-,2,106.50,"1,991.45",251.45,"9,900","1,505.45","1,797.60","9,900","7,300.00",150,32.50,37.45,75,-7.55,37.45,71.86,"1,894",-131,692,
,-,-,-,-,-,-,"9,900","1,323.85","1,751.70","9,900","7,350.00",150,15.05,52.65,150,-6.35,52.65,70.26,3,1,14,
,6,-3,7,92.85,"1,858.50",198.40,75,"1,561.30","1,598.65",75,"7,400.00",75,40.10,44.40,75,-8.35,42.50,70.69,"2,043",74,"1,242",
,8,-,-,-,"1,423.90","-1,427.50","9,900","1,366.45","1,634.55","9,900","7,450.00",150,12.20,52.10,150,-20.80,45.20,70.77,6,-3,82,
,"2,846",-261,452,-,"1,488.00",-67.10,75,"1,483.25","1,495.60",75,"7,500.00",150,50.00,50.50,75,-9.00,49.30,69.07,"17,161",-519,"24,837",
,-,-,-,-,-,-,"9,900","1,166.95","1,548.20","9,900","7,550.00",150,37.30,68.95,150,-5.30,42.10,64.50,10,-2,6,
,88,-42,107,96.43,"1,389.95",-64.00,75,"1,382.15","1,405.00",75,"7,600.00",75,49.45,57.90,75,-8.80,57.55,67.72,"2,552",-174,"1,220",
,1,-,-,-,"1,413.65","-1,413.65","9,900","1,050.90","1,459.25","9,900","7,650.00",150,16.50,76.55,"9,900",-16.50,59.00,68.91,3,-,10,
,360,-8,34,54.83,"1,296.00",-80.00,75,"1,288.90","1,321.20",75,"7,700.00",150,59.00,65.35,75,-10.40,65.40,66.09,"2,965",-59,"2,431",
,-,-,-,-,-,-,75,"1,116.70","1,305.40",75,"7,750.00",150,62.05,81.45,150,-0.55,81.45,-,5,-,24,
,243,-4,18,76.88,"1,202.05",-86.10,150,"1,194.25","1,227.90",75,"7,800.00","1,575",74.00,74.95,75,-11.65,74.00,64.63,"3,942",-26,"2,661",
,7,-,-,-,"1,300.00","-1,300.00",75,"1,051.20","1,294.95",75,"7,850.00",75,77.70,91.25,75,-6.80,86.35,63.73,49,-12,29,
,147,-1,30,79.11,"1,136.70",-27.30,75,"1,118.10","1,136.75",75,"7,900.00",150,83.20,86.00,"1,500",-13.85,84.00,63.12,"3,901",-78,"1,549",
,1,-,-,-,"1,145.10","-1,145.10","9,900",916.70,"1,220.80","10,650","7,950.00",150,84.20,92.70,75,-15.80,95.60,62.24,21,-1,59,
,"7,340",-169,"1,655",48.60,"1,033.20",-82.35,75,"1,032.75","1,036.00",75,"8,000.00",150,95.05,97.00,900,-14.85,95.00,61.62,"42,453",-965,"31,806",
,53,-1,32,80.16,"1,280.00",225.35,75,944.65,"1,010.35",75,"8,050.00",75,75.45,108.55,75,-1.45,115.30,59.28,59,-13,54,
,968,-9,267,49.94,953.00,-84.05,75,946.10,958.35,75,"8,100.00",75,108.00,110.00,75,-14.55,109.60,60.09,"5,855",-451,"7,465",
,39,-,-,-,944.15,-944.15,75,872.55,947.05,150,"8,150.00",75,92.50,122.70,75,-10.95,119.35,58.66,35,3,54,
,595,-5,275,47.22,856.65,-95.45,75,860.25,875.20,75,"8,200.00",75,122.80,126.30,75,-15.95,125.00,58.71,"10,593",-554,"3,021",
,10,-,-,-,880.00,-880.00,750,647.70,908.30,900,"8,250.00",75,95.05,140.85,75,-20.55,134.35,58.64,89,-10,105,
,765,-122,171,47.79,778.95,-95.20,75,777.30,790.70,75,"8,300.00",75,140.00,142.85,75,-18.55,140.25,57.16,"12,045","1,095","4,102",
,28,-1,1,53.25,915.00,141.90,75,539.35,814.55,"9,900","8,350.00",75,143.30,162.05,75,-6.30,163.25,56.21,64,6,85,
,935,-42,127,46.75,699.00,-92.15,75,699.00,713.05,75,"8,400.00",75,163.40,164.00,525,-17.35,164.00,56.23,"9,920",480,"3,549",
,76,1,2,64.38,691.95,-8.05,"9,900",443.30,758.15,"9,900","8,450.00",75,115.15,186.65,75,-9.85,184.15,55.65,96,-7,77,
,"9,242",105,"3,548",48.12,627.00,-87.15,525,630.20,638.05,75,"8,500.00",75,189.20,189.95,225,-15.60,189.85,55.25,"48,545",856,"24,358",
,46,-,2,53.47,765.25,78.35,225,400.00,759.70,750,"8,550.00",75,196.55,214.95,150,-4.95,212.00,54.80,113,17,74,
,"2,290",1,256,48.42,561.90,-80.45,75,554.80,565.55,75,"8,600.00",75,216.00,219.00,75,-13.15,218.90,54.23,"9,581",449,"3,648",
,84,-,21,62.04,522.00,-94.05,75,508.10,539.45,75,"8,650.00",75,225.00,239.45,75,-10.10,234.10,53.33,134,13,58,
,"1,954",5,623,46.54,482.35,-90.95,75,487.15,496.60,75,"8,700.00",375,248.00,248.55,75,-16.05,246.80,53.03,"9,548",145,"4,623",
,28,-1,16,56.39,461.85,-80.10,75,435.10,522.35,75,"8,750.00",75,191.05,282.20,75,-15.05,263.20,52.68,177,29,104,
,"2,020",88,"2,029",45.60,428.10,-76.50,75,422.80,432.90,75,"8,800.00",150,283.00,283.05,75,-13.35,283.05,52.03,"13,246",808,"5,653",
,102,-5,39,56.89,386.50,-109.40,75,390.05,405.00,300,"8,850.00",75,300.10,313.30,75,-13.00,300.25,52.16,139,9,60,
